Date,Actual,ARIMA_Pred,Prophet_Pred,LSTM_Pred
2025-02-07,96529.0859375,67268.96642471604,51910.351721633626,90614.23
2025-02-08,96482.453125,67268.96642471604,52047.03977769978,90843.31
2025-02-09,96500.09375,67268.96642471604,52288.34721204484,91031.6
2025-02-10,97437.5546875,67268.96642471604,52364.23621032863,90251.305
2025-02-11,95747.4296875,67268.96642471604,52532.26772292277,89525.47
2025-02-12,97885.859375,67268.96642471604,52690.193870198535,89176.22
2025-02-13,96623.8671875,67268.96642471604,52848.565365693314,89838.54
2025-02-14,97508.96875,67268.96642471604,53005.43721035043,91333.984
2025-02-15,97580.3515625,67268.96642471604,53119.02568364915,90706.945
2025-02-16,96175.03125,67268.96642471604,53330.85008252688,90202.89
2025-02-17,95773.3828125,67268.96642471604,53371.11203319135,89829.72
2025-02-18,95539.546875,67268.96642471604,53497.74365904595,86985.75
2025-02-19,96635.609375,67268.96642471604,53608.99517445509,84013.4
2025-02-20,98333.9375,67268.96642471604,53716.03367633114,80620.62
2025-02-21,96125.546875,67268.96642471604,53817.636551581614,79607.26
2025-02-22,96577.7578125,67268.96642471604,53872.832810427346,79784.914
2025-02-23,96273.921875,67268.96642471604,54024.02619308323,81191.875
2025-02-24,91418.171875,67268.96642471604,54002.353373259764,86668.37
2025-02-25,88736.171875,67268.96642471604,54066.70912785822,84881.03
2025-02-26,84347.0234375,67268.96642471604,54116.30969951249,82944.04
2025-02-27,84704.2265625,67268.96642471604,54163.266832200265,83829.38
2025-02-28,84373.0078125,67268.96642471604,54207.25663613099,84504.95
2025-03-01,86031.9140625,67268.96642471604,54208.13733739788,82953.79
2025-03-02,94248.3515625,67268.96642471604,54309.05048947405,81503.85
2025-03-03,86065.671875,67268.96642471604,54241.75966068584,78000.98
2025-03-04,87222.1953125,67268.96642471604,54265.65909664555,75163.33
2025-03-05,90623.5625,67268.96642471604,54280.3241322986,76532.24
2025-03-06,89961.7265625,67268.96642471604,54298.07628183314,78802.086
2025-03-07,86742.671875,67268.96642471604,54318.647495296755,78583.97
2025-03-08,86154.59375,67268.96642471604,54301.79784244875,79337.08
2025-03-09,80601.0390625,67268.96642471604,54390.4212700817,79931.98
2025-03-10,78532.0,67268.96642471604,54315.89337589184,79106.24
2025-03-11,82862.2109375,67268.96642471604,54337.09348661314,79178.125
2025-03-12,83722.359375,67268.96642471604,54352.972467865315,78657.51
2025-03-13,81066.703125,67268.96642471604,54375.13871937082,80576.555
2025-03-14,83969.1015625,67268.96642471604,54402.546254917426,80448.945
2025-03-15,84343.109375,67268.96642471604,54394.138439528455,79823.11
2025-03-16,82579.6875,67268.96642471604,54491.98126286505,79278.33
2025-03-17,84075.6875,67268.96642471604,54426.639267765924,80306.37
2025-03-18,82718.5,67268.96642471604,54456.225564702734,81927.48
2025-03-19,86854.2265625,67268.96642471604,54478.99649545547,82678.84
2025-03-20,84167.1953125,67268.96642471604,54505.96255441237,82362.06
2025-03-21,84043.2421875,67268.96642471604,54535.598666407255,82063.96
2025-03-22,83832.484375,67268.96642471604,54526.50666282057,80390.97
2025-03-23,86054.375,67268.96642471604,54620.56319703728,78524.56
2025-03-24,87498.9140625,67268.96642471604,54548.30569375509,77673.7
2025-03-25,87471.703125,67268.96642471604,54567.98736950238,77811.414
2025-03-26,86900.8828125,67268.96642471604,54578.17163906606,79631.52
2025-03-27,87177.1015625,67268.96642471604,54590.33742211986,79342.87
2025-03-28,84353.1484375,67268.96642471604,54603.578514464076,79005.734
2025-03-29,82597.5859375,67268.96642471604,54577.25009117213,79173.36
2025-03-30,82334.5234375,67268.96642471604,54654.09596405916,79166.8
2025-03-31,82548.9140625,67268.96642471604,54565.6097159772,76304.266
2025-04-01,85169.171875,67268.96642471604,54571.061410510556,75001.305
2025-04-02,82485.7109375,67268.96642471604,54570.06096851929,73337.2
2025-04-03,83102.828125,67268.96642471604,54575.13059677631,75953.84
2025-04-04,83843.8046875,67268.96642471604,54586.370373937374,76642.61
2025-04-05,83504.796875,67268.96642471604,54564.0710450463,78471.81
2025-04-06,78214.484375,67268.96642471604,54651.80864564819,80373.805
2025-04-07,79235.3359375,67268.96642471604,54581.77506226766,80140.33
2025-04-08,76271.953125,67268.96642471604,54613.77716859146,79868.06
2025-04-09,82573.953125,67268.96642471604,54647.77649794574,79192.516
2025-04-10,79626.140625,67268.96642471604,54696.44260842884,79045.34
2025-04-11,83404.8359375,67268.96642471604,54759.804895214496,79627.22
2025-04-12,85287.109375,67268.96642471604,54797.85740813292,79843.484
2025-04-13,83684.9765625,67268.96642471604,54953.65164351326,80192.31
2025-04-14,84542.390625,67268.96642471604,54958.63159382621,80409.51
2025-04-15,83668.9921875,67268.96642471604,55071.64369279288,81745.42
2025-04-16,84033.8671875,67268.96642471604,55191.49343425344,85857.52
2025-04-17,84895.75,67268.96642471604,55329.5214612702,88127.95
2025-04-18,84450.8046875,67268.96642471604,55484.2833507154,88430.78
2025-04-19,85063.4140625,67268.96642471604,55614.18696605527,88288.65
2025-04-20,85174.3046875,67268.96642471604,55860.621523642505,87999.27
2025-04-21,87518.90625,67268.96642471604,55953.33171616957,87387.234
2025-04-22,93441.890625,67268.96642471604,56149.46850046673,87889.76
2025-04-23,93699.109375,67268.96642471604,56346.18723534752,88020.41
2025-04-24,93943.796875,67268.96642471604,56553.26484177594,88011.27
2025-04-25,94720.5,67268.96642471604,56767.819086538984,89326.555
2025-04-26,94646.9296875,67268.96642471604,56946.98277015829,90348.43
2025-04-27,93754.84375,67268.96642471604,57231.06593578859,90005.195
2025-04-28,94978.75,67268.96642471604,57348.95850736457,88603.71
2025-04-29,94284.7890625,67268.96642471604,57557.20414926912,88128.34
2025-04-30,94207.3125,67268.96642471604,57752.61536284554,89442.86
2025-05-01,96492.3359375,67268.96642471604,57944.90098627707,90536.414
2025-05-02,96910.0703125,67268.96642471604,58131.3888734037,94545.33
2025-05-03,95891.796875,67268.96642471604,58269.696397141255,96207.734
2025-05-04,94315.9765625,67268.96642471604,58500.881954857934,96989.055
2025-05-05,94748.0546875,67268.96642471604,58554.83013962222,96389.555
2025-05-06,96802.4765625,67268.96642471604,58689.3018142815,95022.234
2025-05-07,97032.3203125,67268.96642471604,58802.5197257384,95299.13
2025-05-08,103241.4609375,67268.96642471604,58905.761608717876,95511.76
2025-05-09,102970.8515625,67268.96642471604,58998.04447659326,95812.92
2025-05-10,104696.328125,67268.96642471604,59038.753780700354,95812.875
2025-05-11,104106.359375,67268.96642471604,59170.751736056576,95587.05
2025-05-12,102812.953125,67268.96642471604,59125.71865133188,97465.66
2025-05-13,104169.8125,67268.96642471604,59163.159694105205,97992.62
2025-05-14,103539.4140625,67268.96642471604,59182.94890919224,98513.22
2025-05-15,103744.640625,67268.96642471604,59197.88357237303,100341.586
2025-05-16,103489.2890625,67268.96642471604,59208.333630419125,102325.28
2025-05-17,103191.0859375,67268.96642471604,59174.84085218148,100015.87
2025-05-18,106446.0078125,67268.96642471604,59241.20279481746,98648.05
2025-05-19,105606.1796875,67268.96642471604,59139.796068680764,99278.83
2025-05-20,106791.0859375,67268.96642471604,59130.57179828131,100357.72
2025-05-21,109678.078125,67268.96642471604,59113.5953705102,100571.41
2025-05-22,111673.28125,67268.96642471604,59101.603624753465,99662.77
2025-05-23,107287.796875,67268.96642471604,59094.664104590775,97808.11
2025-05-24,107791.15625,67268.96642471604,59052.790664658314,96137.68
2025-05-25,109035.390625,67268.96642471604,59119.050014912995,96219.73
2025-05-26,109440.3671875,67268.96642471604,59024.912988150914,97427.61
2025-05-27,108994.640625,67268.96642471604,59029.28257472769,98260.61
2025-05-28,107802.328125,67268.96642471604,59031.069830979504,98074.875
2025-05-29,105641.7578125,67268.96642471604,59041.78972853355,97246.586
2025-05-30,103998.5703125,67268.96642471604,59060.2604055435,94900.76
2025-05-31,104638.09375,67268.96642471604,59045.2589172913,95585.13
2025-06-01,105652.1015625,67268.96642471604,59138.666869638204,97334.805
2025-06-02,105881.53125,67268.96642471604,59070.8585549424,98272.18
2025-06-03,105432.46875,67268.96642471604,59099.762534899164,101032.79
2025-06-04,104731.984375,67268.96642471604,59123.46677648564,101991.63
2025-06-05,101575.953125,67268.96642471604,59152.83853668005,100638.08
2025-06-06,104390.34375,67268.96642471604,59186.241740250734,97896.49
2025-06-07,105615.625,67268.96642471604,59182.2044076116,96968.05
2025-06-08,105793.6484375,67268.96642471604,59282.56916854233,96940.8
2025-06-09,110294.1015625,67268.96642471604,59217.87933733523,97410.42
2025-06-10,110257.234375,67268.96642471604,59246.431558352015,98515.83
2025-06-11,108686.625,67268.96642471604,59266.865400133254,97620.6
2025-06-12,105929.0546875,67268.96642471604,59290.76156591292,97026.82
2025-06-13,106090.96875,67268.96642471604,59317.332124093744,96768.66
2025-06-14,105472.40625,67268.96642471604,59306.05614335607,95985.89
2025-06-15,105552.0234375,67268.96642471604,59399.79474058735,95046.89
2025-06-16,106796.7578125,67268.96642471604,59330.13910622549,94015.02
2025-06-17,104601.1171875,67268.96642471604,59356.42369006203,96506.7
2025-06-18,104883.328125,67268.96642471604,59378.27615045075,98411.164
2025-06-19,104684.2890625,67268.96642471604,59408.17697434886,99551.875
2025-06-20,103309.6015625,67268.96642471604,59446.11338952271,99208.08
2025-06-21,102257.40625,67268.96642471604,59452.18211337589,98679.62
2025-06-22,100987.140625,67268.96642471604,59569.67601369681,98577.61
2025-06-23,105577.7734375,67268.96642471604,59530.409188181686,99340.56
2025-06-24,106045.6328125,67268.96642471604,59593.71343440956,99024.63
2025-06-25,107361.2578125,67268.96642471604,59658.9783237946,97825.25
2025-06-26,106960.0,67268.96642471604,59738.20820004032,99244.984
2025-06-27,107088.4296875,67268.96642471604,59830.68092524043,100795.46
2025-06-28,107327.703125,67268.96642471604,59895.562900868725,100243.64
2025-06-29,108385.5703125,67268.96642471604,60075.015201295704,99637.2
2025-06-30,107135.3359375,67268.96642471604,60099.54487349368,100029.5
2025-07-01,105698.28125,67268.96642471604,60227.033717164624,99832.82
2025-07-02,108859.3203125,67268.96642471604,60355.315914302184,100088.23
2025-07-03,109647.9765625,67268.96642471604,60494.776819915736,101749.836
2025-07-04,108034.3359375,67268.96642471604,60643.05659161805,105468.48
2025-07-05,108231.1796875,67268.96642471604,60757.71193502747,107718.234
2025-07-06,109232.0703125,67268.96642471604,60979.369482530485,107533.75
2025-07-07,108299.8515625,67268.96642471604,61037.12350645752,107722.38
2025-07-08,108950.2734375,67268.96642471604,61187.60893427998,108205.8
2025-07-09,111326.5546875,67268.96642471604,61327.619732786115,107063.16
2025-07-10,115987.203125,67268.96642471604,61466.743753087176,107137.23
2025-07-11,117516.9921875,67268.96642471604,61602.09661194935,107895.5
2025-07-12,117435.2265625,67268.96642471604,61691.00693427851,107507.03
2025-07-13,119116.1171875,67268.96642471604,61874.185700601316,107164.04
2025-07-14,119849.703125,67268.96642471604,61881.13182878909,106716.34
2025-07-15,117777.1875,67268.96642471604,61969.204605607534,106757.195
2025-07-16,118738.5078125,67268.96642471604,62036.232914602755,108604.71
2025-07-17,119289.84375,67268.96642471604,62093.13246860054,108628.94
2025-07-18,118003.2265625,67268.96642471604,62138.613974258595,107890.61
2025-07-19,117939.9765625,67268.96642471604,62131.83513299745,106993.03
2025-07-20,117300.7890625,67268.96642471604,62215.53001469788,106994.805
2025-07-21,117439.5390625,67268.96642471604,62121.36891852883,108263.84
2025-07-22,119995.4140625,67268.96642471604,62108.98048811396,107890.25
2025-07-23,118754.9609375,67268.96642471604,62078.50731483616,107397.016
2025-07-24,118368.0,67268.96642471604,62043.1676257177,107155.74
2025-07-25,117635.8828125,67268.96642471604,62003.90743457735,105862.92
2025-07-26,117947.3671875,67268.96642471604,61921.99753542518,103847.336
2025-07-27,119448.4921875,67268.96642471604,61942.11033197064,102809.07
2025-07-28,117924.4765625,67268.96642471604,61797.631017753585,104005.56
2025-07-29,117922.1484375,67268.96642471604,61749.63617812519,105499.98
2025-07-30,117831.1875,67268.96642471604,61699.41221957944,105310.234
2025-07-31,115758.203125,67268.96642471604,61660.98722960608,105292.5
2025-08-01,113320.0859375,67268.96642471604,61635.76145938835,106786.0
2025-08-02,112526.9140625,67268.96642471604,61585.09140591556,106892.03
2025-08-03,114217.671875,67268.96642471604,61653.36285215085,106388.28
2025-08-04,115071.8828125,67268.96642471604,61573.30750111155,107859.57
2025-08-05,114141.4453125,67268.96642471604,61604.996149315375,108244.65
2025-08-06,115028.0,67268.96642471604,61648.38043528343,108982.34
2025-08-07,117496.8984375,67268.96642471604,61715.856162271426,111212.89
2025-08-08,116688.7265625,67268.96642471604,61806.93256571914,108635.63
2025-08-09,116500.359375,67268.96642471604,61880.86148475682,106335.58
2025-08-10,119306.7578125,67268.96642471604,62079.76061154088,106006.94
2025-08-11,118731.4453125,67268.96642471604,62133.98413427863,106632.38
2025-08-12,120172.90625,67268.96642471604,62301.172300449805,106418.734
2025-08-13,123344.0625,67268.96642471604,62478.85045693561,104043.58
2025-08-14,118359.578125,67268.96642471604,62677.04906775953,103924.86
2025-08-15,117398.3515625,67268.96642471604,62893.02760301367,103329.336
2025-08-16,117491.3515625,67268.96642471604,63083.95484334033,106033.48
2025-08-17,117453.0625,67268.96642471604,63390.078459288416,106464.37
2025-08-18,116252.3125,67268.96642471604,63540.136003238455,104694.17
2025-08-19,112831.1796875,67268.96642471604,63790.437830363735,101519.86
2025-08-20,114274.7421875,67268.96642471604,64037.49169055271,101495.24
2025-08-21,112419.03125,67268.96642471604,64290.63989409727,102039.24
2025-08-22,116874.0859375,67268.96642471604,64546.791579190416,103311.91
2025-08-23,115374.328125,67268.96642471604,64763.10250147489,101181.58
2025-08-24,113458.4296875,67268.96642471604,65080.13532446061,100039.34
2025-08-25,110124.3515625,67268.96642471604,65227.25290702392,99591.15
2025-08-26,111802.65625,67268.96642471604,65461.67569082604,100371.49
2025-08-27,111222.0625,67268.96642471604,65681.07372617772,102137.56
2025-08-28,112544.8046875,67268.96642471604,65896.16522264094,103105.14
2025-08-29,108410.8359375,67268.96642471604,66105.40529425627,102376.85
2025-08-30,108808.0703125,67268.96642471604,66267.6185870075,101600.836
2025-08-31,108236.7109375,67268.96642471604,66525.11012399542,101076.23
2025-09-01,109250.59375,67268.96642471604,66609.00827193802,101647.32
2025-09-02,111200.5859375,67268.96642471604,66778.27235012801,102680.26
2025-09-03,111723.2109375,67268.96642471604,66932.23680965333,102713.52
2025-09-04,110723.6015625,67268.96642471604,67083.16519045665,103963.02
2025-09-05,110650.984375,67268.96642471604,67230.89874266346,105463.95
2025-09-06,110224.6953125,67268.96642471604,67335.454477788,106174.88
2025-09-07,111167.6171875,67268.96642471604,67540.10789526971,105919.94
2025-09-08,112071.4296875,67268.96642471604,67576.71500514007,105190.07
2025-09-09,111530.546875,67268.96642471604,67704.70667327892,104935.63
2025-09-10,113955.359375,67268.96642471604,67823.62749754361,105962.22
2025-09-11,115507.5390625,67268.96642471604,67945.69247144929,106334.22
2025-09-12,116101.578125,67268.96642471604,68070.44613963531,106708.414
2025-09-13,115950.5078125,67268.96642471604,68157.37860394156,105813.82
2025-09-14,115407.65625,67268.96642471604,68349.0330071761,105336.4
2025-09-15,115444.875,67268.96642471604,68376.35830450119,105097.41
2025-09-16,116843.1875,67268.96642471604,68497.73936991346,103564.92
2025-09-17,116468.5078125,67268.96642471604,68611.57552815934,102526.414
2025-09-18,117137.203125,67268.96642471604,68728.8795448314,103309.17
2025-09-19,115688.859375,67268.96642471604,68847.98048479919,101357.78
2025-09-20,115721.9609375,67268.96642471604,68927.18347129239,100708.57
2025-09-21,115306.09375,67268.96642471604,69107.9196522345,100841.375
2025-09-22,112748.5078125,67268.96642471604,69120.13890744267,102675.53
2025-09-23,112014.5,67268.96642471604,69221.37614871786,104976.04
2025-09-24,113328.6328125,67268.96642471604,69309.36122281326,105272.086
2025-09-25,109049.2890625,67268.96642471604,69394.64351556874,107593.95
2025-09-26,109712.828125,67268.96642471604,69475.31390527305,109685.3
2025-09-27,109681.9453125,67268.96642471604,69509.67652927071,110917.56
2025-09-28,112122.640625,67268.96642471604,69639.40331172371,110811.26
2025-09-29,114400.3828125,67268.96642471604,69594.92364671401,111035.79
2025-09-30,114056.0859375,67268.96642471604,69634.48017198376,111944.41
2025-10-01,118648.9296875,67268.96642471604,69656.7209462098,110132.805
2025-10-02,120681.2578125,67268.96642471604,69673.29964132459,110482.95
2025-10-03,122266.53125,67268.96642471604,69683.56710618032,110070.695
2025-10-04,122425.4296875,67268.96642471604,69647.20764793815,104519.38
2025-10-05,123513.4765625,67268.96642471604,69707.35400977333,100830.41
2025-10-06,124752.53125,67268.96642471604,69595.93458815149,103354.945
2025-10-07,121451.3828125,67268.96642471604,69572.68505911756,105965.47
2025-10-08,123354.8671875,67268.96642471604,69537.69601015949,105340.88
2025-10-09,121705.5859375,67268.96642471604,69503.96948539185,102739.28
2025-10-10,113214.3671875,67268.96642471604,69472.06907203095,99885.89
2025-10-11,110807.8828125,67268.96642471604,69402.71808529021,98106.05
2025-10-12,115169.765625,67268.96642471604,69439.88094561336,98505.55
2025-10-13,115271.078125,67268.96642471604,69316.08227973567,100208.11
2025-10-14,113118.6640625,67268.96642471604,69291.39674817702,102209.66
2025-10-15,110783.1640625,67268.96642471604,69265.98185039841,101317.2
2025-10-16,108186.0390625,67268.96642471604,69252.62707318406,99711.63
2025-10-17,106467.7890625,67268.96642471604,69251.40425857567,100465.93
2025-10-18,107198.265625,67268.96642471604,69222.27378067197,101850.914
2025-10-19,108666.7109375,67268.96642471604,69308.1814407273,102758.52
2025-10-20,110588.9296875,67268.96642471604,69240.40021650007,104563.74
2025-10-21,108476.890625,67268.96642471604,69277.54927344927,104827.516
2025-10-22,107688.5859375,67268.96642471604,69318.16171167107,103651.94
2025-10-23,110069.7265625,67268.96642471604,69373.2734767843,101136.01
2025-10-24,111033.921875,67268.96642471604,69441.11724033221,99198.8
2025-10-25,111641.7265625,67268.96642471604,69479.77466524047,99793.38
2025-10-26,114472.4453125,67268.96642471604,69630.32072203525,101095.93
2025-10-27,114119.328125,67268.96642471604,69622.21291302142,102072.46
2025-10-28,112956.1640625,67268.96642471604,69712.35653397096,99629.43
2025-10-29,110055.3046875,67268.96642471604,69797.71620539927,95136.57
2025-10-30,108305.546875,67268.96642471604,69887.94493039727,94806.0
2025-10-31,109556.1640625,67268.96642471604,69980.11341605347,94351.17
2025-11-01,110064.015625,67268.96642471604,70031.3921372928,95658.53
2025-11-02,110639.625,67268.96642471604,70182.21902916755,95827.055
2025-11-03,106547.5234375,67268.96642471604,70161.70506282272,97020.52
2025-11-04,101590.5234375,67268.96642471604,70226.70842597973,98244.516
2025-11-05,103891.8359375,67268.96642471604,70274.44733460889,96634.33
2025-11-06,101301.2890625,67268.96642471604,70315.12273493891,94599.3
2025-11-07,103372.40625,67268.96642471604,70346.63384106418,92706.48
2025-11-08,102282.1171875,67268.96642471604,70327.23939394183,89209.53
2025-11-09,104719.640625,67268.96642471604,70398.69812072738,88533.5
2025-11-10,105996.59375,67268.96642471604,70291.64141068036,88355.14
2025-11-11,102997.46875,67268.96642471604,70264.6098351403,87390.51
2025-11-12,101663.1875,67268.96642471604,70216.6245642951,87379.805
2025-11-13,99697.4921875,67268.96642471604,70159.76605597461,86737.06
2025-11-14,94397.7890625,67268.96642471604,70093.84413624046,83649.72
2025-11-15,95549.1484375,67268.96642471604,69979.01355763033,81099.57
2025-11-16,94177.078125,67268.96642471604,69958.8697063481,80046.03
2025-11-17,92093.875,67268.96642471604,69765.77862657908,81287.36
2025-11-18,92948.875,67268.96642471604,69659.87406980827,83225.086
2025-11-19,91465.9921875,67268.96642471604,69541.59360186209,83566.52
2025-11-20,86631.8984375,67268.96642471604,69424.22699688874,84927.34
2025-11-21,85090.6875,67268.96642471604,69308.56174422712,85929.0
2025-11-22,84648.359375,67268.96642471604,69155.48029504123,85871.055
2025-11-23,86805.0078125,67268.96642471604,69109.04408339522,85441.086
2025-11-24,88270.5625,67268.96642471604,68901.81866837128,84880.875
2025-11-25,87341.890625,67268.96642471604,68793.87269658917,82398.836
2025-11-26,90518.3671875,67268.96642471604,68685.32252566889,83877.36
2025-11-27,91285.375,67268.96642471604,68588.89537046554,86716.3
2025-11-28,90919.265625,67268.96642471604,68504.59526870101,87332.61
2025-11-29,90851.7578125,67268.96642471604,68392.32581924635,85338.69
2025-11-30,90394.3125,67268.96642471604,68395.00393128025,83843.03
2025-12-01,86321.5703125,67268.96642471604,68243.91803625038,84063.016
2025-12-02,91350.203125,67268.96642471604,68197.7624960758,84810.805
2025-12-03,93527.8046875,67268.96642471604,68155.21903955539,86454.04
2025-12-04,92141.625,67268.96642471604,68127.55706681183,86848.266
2025-12-05,89387.7578125,67268.96642471604,68113.33611217348,86893.61
2025-12-06,89272.375,67268.96642471604,68071.06345641393,85468.695
2025-12-07,90405.640625,67268.96642471604,68142.34023452918,84624.04
2025-12-08,90640.203125,67268.96642471604,68057.2486930423,83313.23
2025-12-09,92691.7109375,67268.96642471604,68073.41164711496,81854.7
2025-12-10,92020.9453125,67268.96642471604,68088.59441794433,82138.914
2025-12-11,92511.3359375,67268.96642471604,68113.3206832192,81819.17
